"Year","Temperature"
1924,56.0875289514661
1925,59.5344846975058
1926,75.076964115724
1927,65.2739632502198
1928,68.4147975593805
1929,68.1109544634819
1930,62.5716493651271
1931,78.1559566780925
1932,56.8932643719018
1933,72.0281137153506
1934,60.7730854675174
1935,52.3430212959647
1936,50.2594560291618
1937,67.017993722111
1938,55.515427114442
1939,40.7829594705254
1940,48.0225634109229
1941,40.3107561729848
1942,40.1886061020195
1943,43.4325481019914
1944,52.8191743418574
1945,75.2442269958556
1946,52.8869951423258
1947,50.7497433014214
1948,62.5222045276314
1949,42.2416726127267
1950,43.7623379286379
1951,47.6712521445006
1952,71.1397426389158
1953,71.9783693179488
1954,50.6139163859189
1955,78.5789973475039
1956,68.6975507065654
1957,63.678500847891
1958,55.8028942346573
1959,77.1586139407009
1960,51.6565182432532
1961,70.0200709979981
1962,68.8686802890152
1963,70.3244912531227
1964,78.6765079665929
1965,76.8789631314576
1966,49.9791041575372
1967,53.9181816577911
1968,65.2499777171761
1969,68.6188152525574
1970,53.2910785079002
1971,63.3674823306501
1972,46.3879670202732
1973,45.7592014130205
1974,55.4381472617388
1975,54.2105236556381
1976,53.8628565147519
1977,73.6708022560924
1978,61.627956898883
1979,46.8566151708364
1980,78.2853046152741
1981,47.0697224233299
1982,59.6237494051456
1983,69.0043683350086
1984,59.3323938827962
1985,79.77060880512
1986,66.183100445196
1987,51.7131054960191
1988,44.6391463186592
1989,69.6921206265688
1990,59.085984537378
1991,40.5439179483801
1992,40.6407517194748
1993,55.5965171195567
1994,68.4193037357181
1995,73.8371864054352
1996,68.6703264154494
1997,52.9950496647507
1998,67.5984707567841
1999,48.0852513667196
2000,65.0934188533574
2001,49.8197505436838
2002,68.2918904349208
2003,46.0182063560933
2004,49.5413288567215
2005,54.9150119721889
2006,55.0072063319385
2007,40.2719479426742
2008,63.3297699317336
2009,57.3459870181978
2010,42.4916777014732
2011,76.9611964095384
2012,46.9810861721635
2013,49.2400183808059
2014,62.3347104527056
2015,47.472215667367
2016,75.0044853519648
2017,47.3337289877236
2018,70.6693157460541
2019,46.8360215146095
2020,48.6098086740822
2021,64.1098064091057
2022,59.0985631197691
2023,75.7727885246277
2024,45.1610692031682
